date,rate
2018-1,2.1
2018-2,2.2
2018-3,2.4
2018-4,2.5
2018-5,2.8
2018-6,2.9
2018-7,2.9
2018-8,2.7
2018-9,2.3
2018-10,2.5
2018-11,2.2
2018-12,1.9
